,X,SubjectIdentification,FirstName,LastName,SocialSecurityNumber,Sex,BirthDate,Race,Ethnicity,EyeColorText,RegisteredSexOffender,IncidentDate,IncidentID,IncidentStreet,IncidentCity,OffenseLocalStatute,OffenseLocalText,ArrestingOfficerBadgeID,ArrOfficerFirstName,ArrOfficerLastName,ArrestNumber,ArrestDate,ReleaseDate,WarrantType,ArrestingAgencyName,ArrestCategory,WeaponPresent,DrugsPresent,ChargeID,ChargeLevel,ChargeLevelState,ReleaseOfficerBadgeID,RelOfficerFirstName,RelOfficerLastName,TranspOfficerBadgeID,TranspOfficerFirstName,TranspOfficerLastName,SentenceID,ConvictionResults,SentenceTermDays,SentenceDurationYrs,AgeAtBooking,BookingID
1,0,3a6caba5-56db-456c-a4ad-c47c076f00c9,Misty,Hernandez,152-53-4036,F,5/28/52,white,nonhispanic,brown,,9/30/15,2015-72771,2151 ROYAL AVE,Anytown,708.2A(3)(A),DOMESTIC ABUSE ASSAULT - 2ND OFFENSE (SRMS),5975,REBECCA,SWARTZENDRUBER,20-00001,10/2/15,10/9/15, ,Any County Sheriff,Taken into custody,,0,38846,M,Serious Misdemeanor,8411,ERIC,GIESE,7538,JOHN,HUBER,52559,sentenced,360,1,63,48335
2,1,a1821dd6-16a7-4485-9ece-c22c8714a384,Megan,Gibbs,218-89-2055,F,5/26/92,amindian,nonhispanic,brown,,5/15/16,2016-27323,2151 ROYAL AVE,Anytown,714.1(3)-B,THEFT BY DECEPTION (FELD),4637,AARON,KUNKEL,20-00002,5/17/16,5/25/16, ,Anytown Police Dept.,Summoned-Cited,,0,83844,F,Felony D,9249,MICHAEL,COOK,6145,ABE,BUSZKA,58058,,,1,23,83536
3,2,ef6d1c86-32ca-43c3-8eba-3da71b4c4601,Melissa,Dixon,170-48-7694,F,5/22/50,,nonhispanic,brown,,7/16/14,2014-11402,TOWNE DR & INDUSTRIAL DR,Anytown,713.3-3,BURGLARY 1ST DEGREE - 1983 (FELB),9997,DAN,HOAGLAND,20-00003,7/17/14,7/17/14,Warrant of committal,Any County Sheriff,Summoned-Cited,Rifle,0,62647,F,Felony B,4180,BRIAN,TACK,8329,BRAD,ROLING,99593,sentenced,,10,64,43148
4,3,46d7ff66-2ea9-4969-a5ee-5bc5c876a68b,Amanda,Terry,765-15-7454,F,4/12/93,black,nonhispanic,brown,,3/12/15,2015-33819,2151 ROYAL AVE,Anytown,3/15/14 3:32,OPER VEH WH INT (OWI) / 1ST OFF (SRMS),3947,DEMETRIUS,MCKENNA,20-00004,3/15/15,3/16/15, ,Any County Sheriff,Summoned-Cited,Handgun,0,58474,M,Serious Misdemeanor,3368,PAUL,MERCER,3338,PATRICK,UNGARO,24753,sentenced,360,1,21,21850
5,4,94d10b39-a5b3-4be9-a911-a5085161f350,Tyler,Kelly,399-39-4294,M,6/8/95,white,nonhispanic,brown,,1/19/16,2016-86506,NICHOLS RD & MAIN DR,Anytown,716.7,Trespass,6365,ALIRIO,STUCKEY,20-00005,1/20/16,1/26/16, ,Any County Sheriff,Taken into custody,,1,30012,M,Simple Misdemeanor,9662,JACOB,FUCHS,7360,MICHAEL,JENNINGS,45230,cleared,10,,20,72314
6,5,4ba6bdca-1d5e-40ca-aced-433a20aa30c4,Patricia,Rodriguez,477-25-6932,F,1/7/94,white,,brown,,9/11/13,2013-36273,2151 ROYAL AVE,Anytown,,,4857,MATT,NIELAND,20-00006,9/13/13,9/21/13, ,Any County Sheriff,Summoned-Cited,,0,72763,M,Serious Misdemeanor,4693,DAVID,HONS,8343,DEMETRIUS,SHINE,38921,sentenced,120,,19,12489
7,6,f2daaa05-d506-41b8-bda3-042176fc020e,Terry,Hood,,M,9/24/84,white,nonhispanic,brown,,5/2/14,2014-15271,3827 MAIN DR,Anytown,123.47,PAULA,4132,ERIK,ROTH,20-00007,5/5/14,5/12/14, ,Any County Sheriff,Taken into custody,Handgun,1,91238,O,Unknown,7224,DAVID,MORGAN,7200,JASON,MURPHY,17111,sentenced,,,29,17396
8,7,b3cafed9-d2f3-45dc-a0ab-afd44f4ec06c,Angela,Harvey,,F,6/25/53,white,,brown,,2/15/14,2014-55159,6200 MAIN DR,Anytown,453B.12-C,USE OF PRIOR OR EXPIRED TAX STAMP - 1993 (FELD),4694,LUTHER,CHERRYHOLMES,20-00008,2/18/14,2/24/14, ,Anytown Police Dept.,Taken into custody,Firearm,0,24705,F,Felony D,6511,DARIN,ZACHARIAS,1824,REBECCA,HUMRICHOUSE,60159,sentenced,,1,60,67894
9,8,b9e80664-7ed5-4536-8c56-380da48f252d,Erica,Young,,F,5/3/61,white,nonhispanic,blue,,7/19/16,2016-10136,2151 ROYAL AVE,Anytown,692A,Sex Offender Registry,6099,BRAD,CAROLAN,20-00009,7/19/16,7/25/16, ,Any County Sheriff,Taken into custody,,0,13028,M,Aggravated Misdemeanor,6150,KEVIN,QUILES,7660,EDWARD,NEELD,56851,cleared,360,1,55,53441
10,9,7664755e-ee08-4b0d-938d-b20152b1f107,Mel,Hoffman,171-02-1696,F,2/4/72,other,hispanic,brown,,1/4/16,2016-82008,2151 ROYAL AVE,Anytown,321J.2,OWI -- 2nd Off (BAC .08),3272,SHANE,REINHARD,20-00010,1/6/16,1/12/16, ,Anytown Police Dept.,Taken into custody,,0,48371,O,Unknown,9724,DOREN,DOHRMANN,5406,ROB,STEVENS,43431,sentenced,,,43,64631
11,10,c69d4511-d34c-46ad-b8a0-4b7d372eaf17,Michael,Hernandez Lewis,,M,5/28/89,other,,brown,,2/10/16,2016-96396,2151 ROYAL AVE,Anytown,321.216A(1),"MAKING FALSE LICENSES, ID FORMS OR BLANK FORMS (SR",1668,GREG,ROTH,20-00011,2/11/16,2/19/16, ,Anytown Police Dept.,On-View,,1,69045,M,Serious Misdemeanor,4689,CHAD,BOLEN,7373,CHRIS,GARDNER,59641,sentenced,60,,26,19836
12,11,20fd41c4-b6ff-4159-ba43-9a351e4c1fd6,Francisco,Johnson,515-58-1884,M,4/11/90,white,,blue,,9/5/16,2016-89609,5223 MAIN DR,Anytown,707.11,ATTEMPTED MURDER (FELB),1368,JOEL,SCHABILION,20-00012,9/6/16,9/10/16, ,Any County Sheriff,Taken into custody,,0,86918,F,Felony B,1862,RICHARD,VRIEZELAAR,4436,JEREMY,REGENWETHER,87411,,,25,26,38702
13,12,0d491a72-d233-48c4-8876-13202e2a1861,Steven,Gray Kelly,097-95-9305,M,3/9/54,white,,brown,,5/31/13,2013-37996,2501 BROADWAY ,Anytown,714.12,FRAUDULENT PRACTICE 4TH DEGREE - 1978 (SRMS),3617,JOSH,FORTMANN,20-00013,6/1/13,6/2/13, ,Any County Sheriff,Summoned-Cited,,1,80269,M,Serious Misdemeanor,3913,BRAD,VRIEZELAAR,2323,MATT,FAULKCON,33164,sentenced,360,1,59,85911
14,13,ac2e7563-80c8-4464-aadc-a38ce0c4b286,Ron,Roberts,,M,1/11/56,white,,brown,,12/13/16,2016-30878,6540 MAIN DR,Anytown,,IN PARK AFTER HOURS(IC ORDINANCE),2529,BRAD,BUSZKA,20-00014,12/15/16,12/20/16, ,Any County Sheriff,On-View,,0,46396,M,Simple Misdemeanor,2546,KATRINA,SANTIAGO,2383,JESSE,BROLL,95685,sentenced,10,,60,99472
15,14,5da49ee8-b642-4a96-9eae-395255d4f0aa,Ashley,Thompson,761-62-4818,F,7/14/72,,,grey,,10/7/16,2016-55878,2151 ROYAL AVE,Anytown,"714.1(4), 714.2(3)","Theft 3rd Deg -- Exercise Ctrl > $500 < $1,000",7741,ADAM,HOLLWAY,20-00015,10/9/16,10/16/16, ,Any County Sheriff,Summoned-Cited,,0,27275,M,Aggravated Misdemeanor,4115,RYAN,MURPHY,9844,BRAD,BAILEY,40958,sentenced,360,1,44,52227
16,15,577ca4b6-c08e-4457-ba97-fbd1f5011714,John,Oconnor,178-23-6979,M,9/6/91,white,,brown,,9/12/15,2015-59061,2151 ROYAL AVE,Anytown,724.3,UNAUTHORIZED POSSESSION OF OFFENSIVE WEAPONS - 197,9723,LUKE,SEYMOUR,20-00016,9/12/15,9/17/15, ,Anytown Police Dept.,Taken into custody,,0,34356,F,Felony D,2780,CORY,WATTS,5056,DEMETRIUS,GLEASON,74273,sentenced,,5,24,86613
